modelo,acuracia,precisao_1,recall_1,f1_1,falsos_positivos,falsos_negativos
knn_k3,0.8249267314514885,0.5788300835654596,0.732722143864598,0.6467475879240585,756,379
arvore_depth7,0.8840043189881228,0.7208222811671088,0.7665726375176305,0.7429938482570062,421,331
