model,param,cv_f1,cv_std,train_accuracy_mean,train_accuracy_std,train_precision_1_mean,train_precision_1_std,train_recall_1_mean,train_recall_1_std,train_f1_1_mean,train_f1_1_std,validation_accuracy_mean,validation_accuracy_std,validation_precision_1_mean,validation_precision_1_std,validation_recall_1_mean,validation_recall_1_std,validation_f1_1_mean,validation_f1_1_std,cv_gap_f1,treino_accuracy,treino_precision_1,treino_recall_1,treino_f1_1,teste_accuracy,teste_precision_1,teste_recall_1,teste_f1_1,gap_f1,selecionado
KNN,3,0.5925145557786705,0.010737124547562581,0.9213109149748868,0.001184558666506795,0.7440318932057843,0.002555232104916132,0.9760183853784618,0.0014837382968035458,0.8443799447558982,0.0021616507930627155,0.7941608164701272,0.0049038832619372865,0.5224901664387549,0.00851319511592551,0.6843639527927341,0.017208665474733334,0.5925145557786705,0.010737124547562581,0.25186538897722766,0.9221305152730639,0.7460253300997036,0.9763710104038088,0.8457954632246238,0.7997840505938608,0.5325732899022801,0.6918194640338505,0.601840490797546,0.24395497242707787,False
KNN,5,0.5832029796184077,0.007607763979177976,0.8699089606017372,0.0023298666567779522,0.6384884524392626,0.004506573896534569,0.9342709989080571,0.003102862634225925,0.7585565395918912,0.0034835192149515136,0.7736807464351207,0.005476154427483532,0.48839756568585446,0.008338858318022002,0.7238620453892113,0.011224611344446807,0.5832029796184077,0.007607763979177976,0.17535355997348345,0.8717216908361617,0.6420351302241066,0.9345794392523364,0.7611661640097659,0.7803486040413389,0.49855907780979825,0.7320169252468265,0.5931428571428572,0.1680233068669087,False
KNN,7,0.5898059740100581,0.003086443551285726,0.8473079103216016,0.0027851847670700134,0.601346825917234,0.005207700209920644,0.8960061870281546,0.002981425709381587,0.7196658857385524,0.003554148634486636,0.7748380273126112,0.002442761380171035,0.4902682239009387,0.0035574961528374474,0.7400820455446006,0.0034733032036323814,0.5898059740100581,0.003086443551285726,0.12985991172849431,0.8509333539031163,0.6080660603159407,0.8959619114794569,0.7244599700577458,0.7818910997994756,0.5009505703422054,0.7433004231311706,0.5985235661555934,0.12593640390215233,False
KNN,9,0.5984114335359951,0.004007536532866978,0.8403270641089001,0.0031225646910036414,0.5917303345818314,0.005811449359406466,0.8712307369661716,0.0021258185062153962,0.7047624855556207,0.004051199732526429,0.7822429647954343,0.004578992409889149,0.5016347894405682,0.007027904747110186,0.7416693471319021,0.007665499240643684,0.5984114335359951,0.004007536532866978,0.10635105201962558,0.8438367787719839,0.5988060428849903,0.8666901780991006,0.7082642841703293,0.7860558383464445,0.5074626865671642,0.7433004231311706,0.6031473533619456,0.10511693080838369,True
Tree,3,0.7060223244595812,0.00931071005614676,0.8749903383210184,0.002023757398942697,0.7241680373746995,0.009119788934422637,0.6924265465335189,0.0059589836869359146,0.7078697585806486,0.002634152684814862,0.8745372471913665,0.003730066212366583,0.7242273043531984,0.011242143087005784,0.6889420320257325,0.014604309771578044,0.7060223244595812,0.00931071005614676,0.0018474341210673595,0.8775069423017587,0.7391221008242285,0.6799506259918886,0.7083027185892726,0.8815363257751041,0.7492331288343558,0.6889985895627645,0.7178545187362234,-0.009551800146950784,False
Tree,5,0.7330857717387811,0.007345306618756946,0.8843334425578713,0.004353285065776767,0.7340357487502154,0.016932627260835303,0.739993416855881,0.006017647329667528,0.7368316433904333,0.006056863178282849,0.8825596545257037,0.0037747425901911392,0.7290651110774898,0.011465523838478786,0.7372581559953073,0.007305147838964282,0.7330857717387811,0.007345306618756946,0.0037458716516521884,0.8780083307621105,0.7104733131923464,0.7464292011990831,0.7280075672886749,0.8749035940151164,0.7024683122081388,0.7425952045133991,0.7219746314706891,0.006032935817985807,False
Tree,7,0.7551350430327378,0.011732798453001864,0.9024705045288114,0.00915059247022302,0.7949277659317028,0.04048477864728203,0.7509691138392188,0.011213999090932904,0.7715128082044561,0.014239628902647664,0.8958262602266096,0.008736131888994733,0.7814229309112046,0.04338163116279437,0.7328559774374753,0.019704467988205222,0.7551350430327378,0.011732798453001864,0.016377765171718295,0.9117556309780932,0.8352824578790882,0.7430788220772351,0.7864874953340799,0.9028227672373901,0.8054263565891473,0.732722143864598,0.7673559822747416,0.019131513059338356,True
Tree,None,0.7479476237314003,0.005688317040944851,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8885374576831546,0.003347790381513206,0.7402066291810138,0.01125089636087527,0.7559514874639692,0.002563701598720172,0.7479476237314003,0.005688317040944851,0.25205237626859966,1.0,1.0,1.0,1.0,0.8931050439611291,0.7519110493398193,0.763046544428773,0.7574378718935947,0.24256212810640532,False
