modelo,f1_medio,f1_desvio,recall_medio,precisao_media
Referência aleatória estratificada,0.2219187527806977,0.006346041686243197,0.2239464217731472,0.2199521293812074
Árvore completa (profundidade 7),0.7551350430327378,0.01311766745360826,0.7328559774374752,0.7814229309112045
Árvore sem grade e juros (profundidade 7),0.6326741644506224,0.007618386313043613,0.6843599126712195,0.5887795790416421
