model,param,prefix,cv_f1,test_accuracy,test_precision_1,test_recall_1,test_f1_1,fp,fn,tn,tp
KNN,9,knn_k9,0.5984114335359951,0.7860558383464445,0.5074626865671642,0.7433004231311706,0.6031473533619456,1023,364,4042,1054
Tree,7,arvore_depth7,0.7551350430327378,0.9028227672373901,0.8054263565891473,0.732722143864598,0.7673559822747416,251,379,4814,1039
