,count,mean,median,std,min,max,skew,nulos
person_age,25928.0,27.69450015427337,26.0,6.176874869194736,20.0,94.0,1.9364259313702687,0
person_income,25928.0,65748.27044122184,55000.0,52144.45930493499,4000.0,2039784.0,9.693959369915593,0
person_emp_length,25211.0,4.778350719923843,4.0,4.02195198031613,0.0,38.0,1.2259230879355063,717
loan_amnt,25928.0,9575.669160752854,8000.0,6305.528960944038,500.0,35000.0,1.190090072970997,0
loan_int_rate,23446.0,11.013347266058176,10.99,3.2332619848639643,5.42,23.22,0.2014383591105111,2482
cb_person_cred_hist_length,25928.0,5.7943150262264735,4.0,4.046429357349796,2.0,30.0,1.6643621894460896,0
comprometimento_renda,25928.0,17.057704090525675,14.814814814814813,10.717736058167596,0.21097046413502107,83.0,1.065463071001406,0
