model,param,cv_f1,cv_std
KNN,3,0.6358076668799997,0.012214113013988155
KNN,5,0.624339010325903,0.010335478124731632
KNN,7,0.6260385208363751,0.011014692856383587
KNN,9,0.6318702041941368,0.00825720578785953
Tree,3,0.7060223244595812,0.00931071005614676
Tree,5,0.7329088588683698,0.007154350166194341
Tree,7,0.7551642071133012,0.011838088433091058
Tree,None,0.749097163995937,0.004187847960041624
