model,param,fold,train_accuracy,train_precision_1,train_recall_1,train_f1_1,validation_accuracy,validation_precision_1,validation_recall_1,validation_f1_1
Tree,3,2,0.8772056696557708,0.7300046232085067,0.6960546616707075,0.7126255218323366,0.8675279598920169,0.7090739008419084,0.6684303350970018,0.6881525192918747
Tree,5,2,0.8836659917076464,0.7312717770034843,0.7401366541767688,0.7356775112279549,0.8758195140763594,0.7112068965517241,0.7275132275132276,0.7192676547515258
Tree,7,2,0.9101822389354932,0.8240426563257393,0.7493938726030417,0.7849474777790604,0.9018511376783648,0.8072763028515241,0.7239858906525574,0.7633658763365876
Tree,None,2,1.0,1.0,1.0,1.0,0.8897030466640956,0.7456293706293706,0.7522045855379189,0.7489025460930641
KNN,3,3,0.9216565422813615,0.7444985721484966,0.9770723104056437,0.8450757936886262,0.7857693790975704,0.5081855388813097,0.6563876651982379,0.5728565936178392
KNN,5,3,0.8706971362452994,0.639356584485869,0.937610229276896,0.7602788702180908,0.7720786733513305,0.48567946374162096,0.7022026431718061,0.5742074927953891
KNN,7,3,0.8498698293317906,0.6053957900978357,0.900352733686067,0.7239851090232229,0.7715001928268415,0.48544819557625146,0.7348017621145374,0.5846477392218717
KNN,9,3,0.8458682865683155,0.602260577363678,0.8692680776014109,0.711540196697645,0.7865406864635557,0.5085365853658537,0.7348017621145374,0.601081081081081
Tree,3,3,0.872770224664931,0.7146413215659652,0.6962081128747796,0.7053042992741485,0.8775549556498264,0.7302025782688766,0.6986784140969163,0.7140927510130571
Tree,5,3,0.879519814868383,0.7133878064110623,0.7506613756613757,0.7315501127940702,0.8827612803702275,0.7257926306769494,0.7462555066079295,0.735881841876629
Tree,7,3,0.9130749204512583,0.8477984219903283,0.734347442680776,0.787005316007088,0.9076359429232549,0.8459915611814346,0.7066079295154185,0.7700432069131061
Tree,None,3,1.0,1.0,1.0,1.0,0.8924026224450443,0.7537379067722075,0.7550660792951542,0.7544014084507042
KNN,3,4,0.922142409487538,0.7460424385314921,0.9764161340092572,0.8458233890214797,0.792092574734812,0.5181818181818182,0.7037037037037037,0.5968586387434555
KNN,5,4,0.8723424769801861,0.6433449688875399,0.9343178311659687,0.7619989214452634,0.7681774349083896,0.48034682080924856,0.7328042328042328,0.5803072625698324
KNN,7,4,0.8503591573060791,0.6074696265186741,0.8926603482477408,0.7229560871117459,0.772420443587271,0.4867358708189158,0.7442680776014109,0.5885634588563459
KNN,9,4,0.8416815311189317,0.5937172774869109,0.874807141282786,0.7073605417929067,0.7741562198649952,0.4893739230327398,0.7513227513227513,0.5926956521739131
Tree,3,4,0.874511883526973,0.722913785154449,0.6912056424950408,0.7067042253521126,0.8738669238187078,0.7135231316725978,0.7072310405643739,0.7103631532329495
Tree,5,4,0.8887817577013932,0.7520343580470162,0.7333039453383293,0.7425510545698025,0.8871745419479267,0.743566992014197,0.7389770723104057,0.7412649270234409
Tree,7,4,0.8951453502386347,0.7655125899280576,0.7504959224156932,0.7579298831385642,0.8931533269045323,0.7543859649122807,0.7583774250440917,0.7563764291996482
Tree,None,4,1.0,1.0,1.0,1.0,0.8848601735776278,0.7269653423499577,0.7583774250440917,0.7423392317652137
KNN,3,5,0.9228655450031336,0.7473471450227388,0.9779590037469693,0.8472407867099484,0.7978784956605594,0.529054054054054,0.6904761904761905,0.5990818668706962
KNN,5,5,0.8693535168490575,0.6366901092323807,0.9378443905664536,0.7584670231729055,0.7735776277724205,0.4881936245572609,0.7292768959435626,0.5848656294200849
KNN,7,5,0.8462613893843707,0.5994393626438478,0.8955256777606347,0.7181617322138754,0.7776277724204436,0.49442815249266864,0.7433862433862434,0.5938710813666784
KNN,9,5,0.8384997348503109,0.5886217709422129,0.8688560722944677,0.7017981128716396,0.7859209257473481,0.507177033492823,0.7477954144620811,0.6044191019244476
Tree,3,5,0.8775008436581015,0.7384137601528906,0.681287194181177,0.7087011349306431,0.8769527483124397,0.7393822393822393,0.6754850088183422,0.7059907834101382
Tree,5,5,0.8898905654919732,0.7549219280380176,0.7352876350011021,0.74497543546226,0.8846673095467695,0.7392857142857143,0.7301587301587301,0.7346938775510204
Tree,7,5,0.8888299667357663,0.7346938775510204,0.7696715891558299,0.7517761033369215,0.8817743490838958,0.7194608256107835,0.7530864197530864,0.7358897027143473
Tree,None,5,1.0,1.0,1.0,1.0,0.891417550626808,0.7480451781059948,0.7592592592592593,0.7536105032822757
