modelo,k,cv_f1_media,cv_f1_dp,treino_acuracia,treino_precisao_1,treino_recall_1,treino_f1_1,teste_acuracia,teste_precisao_1,teste_recall_1,teste_f1_1,gap_f1
KNN,3,0.9148520702711693,0.003243203013875814,0.9743298612825196,0.9573951539962869,0.9928419805499333,0.9747964327258627,0.8118155175073268,0.552771855010661,0.731311706629055,0.6296296296296297,0.34516680309623304
KNN,5,0.8806063886355199,0.0013213450516500376,0.9422175050599793,0.9164961874651293,0.9730957199980254,0.9439482820543518,0.7916088230757365,0.516301703163017,0.7482369534555712,0.6109991361934927,0.3329491458608591
KNN,7,0.8584297881538765,0.0006787221608588839,0.9151898109295552,0.8887810289834974,0.9491533790788369,0.917975650513249,0.7905290760450409,0.5142721217887726,0.7623413258110014,0.6142045454545455,0.3037711050587035
KNN,9,0.8491093044945235,0.002282980937073058,0.8930986819371082,0.8774291402028628,0.9138569383423014,0.8952726393422803,0.7966990590775875,0.5242483026188167,0.7623413258110014,0.621264367816092,0.27400827152618834
